[2026-09-05T19:15:44.163+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T19:15:44.197+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer manual__2026-09-05T19:15:32.392143+00:00 [queued]>
[2026-09-05T19:15:44.223+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer manual__2026-09-05T19:15:32.392143+00:00 [queued]>
[2026-09-05T19:15:44.226+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-05T19:15:44.264+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_silver_layer> on 2026-09-05 19:15:32.392143+00:00
[2026-09-05T19:15:44.291+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ingest_bronze_layer', 'trigger_silver_layer', 'manual__2026-09-05T19:15:32.392143+00:00', '--job-id', '313', '--raw', '--subdir', 'DAGS_FOLDER/bronze_ingestion_dag.py', '--cfg-path', '/tmp/tmp619it5hi']
[2026-09-05T19:15:44.300+0000] {standard_task_runner.py:91} INFO - Job 313: Subtask trigger_silver_layer
[2026-09-05T19:15:44.301+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=2992) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-09-05T19:15:44.307+0000] {standard_task_runner.py:63} INFO - Started process 2993 to run task
[2026-09-05T19:15:44.453+0000] {task_command.py:426} INFO - Running <TaskInstance: ingest_bronze_layer.trigger_silver_layer manual__2026-09-05T19:15:32.392143+00:00 [running]> on host bdc8f6caa133
[2026-09-05T19:15:44.721+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingest_bronze_layer' AIRFLOW_CTX_TASK_ID='trigger_silver_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-09-05T19:15:32.392143+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-05T19:15:32.392143+00:00'
[2026-09-05T19:15:44.736+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T19:15:57.193+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-09-05T19:15:57.195+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
