[2026-07-27T06:08:53.309+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T06:08:53.690+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-27T05:00:00+00:00 [queued]>
[2026-07-27T06:08:53.826+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-27T05:00:00+00:00 [queued]>
[2026-07-27T06:08:53.847+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-07-27T06:08:54.461+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_silver_layer> on 2026-07-27 05:00:00+00:00
[2026-07-27T06:08:54.803+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ingest_bronze_layer', 'trigger_silver_layer', 'scheduled__2026-07-27T05:00:00+00:00', '--job-id', '122', '--raw', '--subdir', 'DAGS_FOLDER/bronze_ingestion_dag.py', '--cfg-path', '/tmp/tmp4_bswihl']
[2026-07-27T06:08:54.841+0000] {standard_task_runner.py:91} INFO - Job 122: Subtask trigger_silver_layer
[2026-07-27T06:08:54.817+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=188) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-27T06:08:55.021+0000] {standard_task_runner.py:63} INFO - Started process 202 to run task
[2026-07-27T06:08:57.287+0000] {task_command.py:426} INFO - Running <TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-27T05:00:00+00:00 [running]> on host 85eca997bf5b
[2026-07-27T06:08:59.178+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingest_bronze_layer' AIRFLOW_CTX_TASK_ID='trigger_silver_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T05:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T05:00:00+00:00'
[2026-07-27T06:08:59.186+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T06:09:21.515+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-07-27T06:09:21.520+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
[2026-07-27T06:09:21.527+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1151 SyntaxWarning: invalid escape sequence '\d'
[2026-07-27T06:09:21.531+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1248 SyntaxWarning: invalid escape sequence '\d'
